beta,fixed_point_l2,phase_residual,solver_success
0.05,4.4209653996448606e-13,8.881784197001252e-16,1
0.1,1.6943743638019455e-13,8.881784197001252e-16,1
0.15000000000000002,3.3751261378887814e-13,8.881784197001252e-16,1
0.2,5.426110268292037e-12,9.992007221626409e-16,1
0.25,2.391571840433824e-11,9.992007221626409e-16,1
0.3,1.5378224783656572e-10,9.992007221626409e-16,1
0.35000000000000003,1.258796687527057e-09,9.992007221626409e-16,1
0.4,5.530689424586048e-08,9.992007221626409e-16,1
0.45,0.0002724960344783293,9.992007221626409e-16,0
0.5,1.863483991595001,1.351084677470027e-08,0
0.55,7.699080500398522,9.830298890123323e-06,0
0.6000000000000001,9.795755704177369,1.7488177286849607,0
0.6500000000000001,11.45685208175283,1.372561622864872,0
0.7000000000000001,46.52729628685762,2.984599860413814,0
0.7500000000000001,16.83287889245215,1.0489816796660312,0
0.8,15.910985731717915,1.2675941527763297,0
