distance,softened_distance,reset_vs_control_effect,analytic_prediction,absolute_residual
0.3,0.301,0.3226620869607284,0.32266208696072846,5.551115123125783e-17
1.0,1.001,0.09702426391126817,0.097024263911268,1.6653345369377348e-16
3.0,3.001,0.03236297506670427,0.032362975066704186,8.326672684688674e-17
24.0,24.001,0.004046551734310233,0.004046551734310206,2.688821387764051e-17
