t,separation,lambda_proxy
20,1.9507970836666926e-07,0.07922643925432395
40,7.688278596577424e-07,0.07389969110089363
80,0.02370563391886792,0.16615429806423201
120,0.6222583779408488,0.13799988760213366
160,7.616398126952776,0.11915431223331088
180,10.656720581584258,0.10778098399884342
