n,seed,det_full,det_factorized,relative_error,phase_q_bound
2,0,0.931864887111263,0.9318648870401405,7.632281598025362e-11,0.016225908853807775
2,1,0.9348888618140653,0.9348888603216419,1.5963645203404654e-09,0.04146455955935986
2,2,0.9336828336942431,0.9336828327213273,1.042019531546654e-09,0.03139882599888328
2,3,0.9333650412620726,0.9333650404603232,8.589880806086186e-10,0.028746471918416935
2,4,0.9392477799046184,0.9392477798944667,1.0808284576097843e-11,0.077844923508047
3,0,0.859209277362304,0.859209277637544,3.203409799135491e-10,0.06950246600149408
3,1,0.8727945783879383,0.8727945782977122,1.0337604185216508e-10,0.050529898844773824
3,2,0.8571966843352699,0.8571966846827441,4.053611939793151e-10,0.07108801443697178
3,3,0.8669419305863921,0.8669419312148104,7.248678311160624e-10,0.06405677101844887
3,4,0.849243933346479,0.8492439336569817,3.656225524013934e-10,0.08461333054484839
4,0,0.7086488748288039,0.7086488751600866,4.674849274118071e-10,0.25261887520159837
4,1,0.7898788141252082,0.78987881523854,1.4094969236264275e-09,0.0941771345483438
4,2,0.7611742814641193,0.7611742821622607,9.171899917184943e-10,0.1383472574292716
4,3,0.7678916396755857,0.7678916401651071,6.374876320982113e-10,0.11312390569835883
4,4,0.2354307092967449,0.23543070455770201,2.0129247326702335e-08,0.8763363407035343
