t,full_gamma1_bits,position_gamma1_bits,full_gamma0982_bits,position_gamma0982_bits
0,84.62461242242996,30.638590982441354,84.62461242242996,30.638590982441354
10,101.81653818281762,35.65394216780215,100.5394610439725,35.53212384782605
30,107.6170903394542,41.18557659147008,103.3076766430181,40.12167685208262
80,108.92780466750392,42.849576299510204,100.21019544219368,40.406220587018275
150,110.4029847656162,43.76270681867869,99.26053107238103,40.17068582477679
