condition,mean_delta_L_bits,fraction_shorter,mean_residual_variance,mean_R,mean_lock_fraction
free_reversible,87.29402472211284,0.0,19287.34735522604,0.947975662094554,0.13809523809523808
free_damped,63.70636295835436,0.0,3774.2738472619903,0.9638685571785235,0.2738095238095238
walled_damped,14.611263193925113,0.03333333333333333,6.208634960559782,0.9986419954471139,0.45
walled_reversible,18.64520591795663,0.0,7.590553630028798,0.9932035368903589,0.3880952380952382
