identifier,label,coupling,mean_first_order,mean_second_order,std_real_second_order,selected_scalar,increment_cv,radial_permutation_entropy,weak_record_in_released_residual_pair
audit-kuramoto-0-000,0,3.137067576720873,0.9983958712679146,0.9935917823763292,0.7026569339180995,-0.3004486159203943,0.4247804855600761,0.5736509713116786,False
audit-kuramoto-0-001,0,3.977330155149231,0.9988904532414365,0.9955661940104736,0.6986585426682116,-0.2747776481051231,0.4325710771989203,0.5693664787179081,False
audit-kuramoto-0-002,0,3.462621414881006,0.9994198047147136,0.9976803492059818,0.7020203901506064,-0.22227070689738257,0.4502625165682848,0.5623370988896712,False
audit-kuramoto-0-003,0,3.9914034113495944,0.9992006575594468,0.9968054651041238,0.703837678689151,-0.36777378362605917,0.4137133804002516,0.597615278879202,False
audit-kuramoto-0-004,0,3.0498600372056215,0.9958391048187014,0.9834037200216009,0.6947661518971511,-0.2845676744630835,0.4239033640131417,0.5634469522175994,False
audit-kuramoto-0-005,0,2.848026003233587,0.9917800580014152,0.9673989281956783,0.6813961003112977,-0.3221783844405545,0.42754939502600525,0.5900741522058865,False
audit-kuramoto-0-006,0,3.5157851362160275,0.9953235866315422,0.981377340950091,0.6924067238475711,-0.28295683732958826,0.42994906292866214,0.5705629935042099,False
audit-kuramoto-0-007,0,2.8539600719006364,0.9930704115458533,0.9725036557756217,0.6896851160077195,-0.3155727293581522,0.4160562002114561,0.5704314919159008,False
audit-kuramoto-0-008,0,3.1745887995092144,0.9995324493337829,0.998130640814828,0.7106689197727356,-0.2561643897789733,0.450998189208218,0.582673919261642,False
audit-kuramoto-0-009,0,3.2191627458076537,0.999356629466357,0.9974284595930094,0.7015508349614135,-0.2582948300938833,0.45491430005913597,0.5889868634644365,False
audit-kuramoto-0-010,0,3.135578735699408,0.999323538685495,0.9972953049366995,0.7012215864401824,-0.24423024091789927,0.44034103936279817,0.5621562058108903,False
audit-kuramoto-0-011,0,2.834297048267258,0.994989471624059,0.9800306789756705,0.6899588886595963,-0.3029210672422927,0.4307149669548891,0.5831051962481375,False
audit-kuramoto-0-012,0,3.120176382898682,0.9992692277245852,0.9970790598469423,0.7051947233253583,-0.2661035613154544,0.4473911834504282,0.5837874169624574,False
audit-kuramoto-0-013,0,2.9540850519854063,0.9995420130672055,0.9981687577890298,0.705887693261423,-0.2597790649047458,0.4477824986035744,0.5806143027701621,False
audit-kuramoto-0-014,0,3.27243425286018,0.9993033330394829,0.9972157418555816,0.7096374150111806,-0.3094769885177869,0.4368001963785926,0.5952329628646645,False
audit-kuramoto-0-015,0,3.841065286862904,0.9968926723502496,0.9876166471776313,0.6989708102526482,-0.25330655340326114,0.4258854848308987,0.5486589615429278,False
audit-kuramoto-0-016,0,3.05242754825816,0.9928909010120532,0.9718367950531102,0.6873667953550495,-0.33582649830236205,0.42595355889738507,0.5959500308089122,False
audit-kuramoto-0-017,0,3.6957025856699928,0.9967628155403807,0.9870945283070591,0.7001044229657745,-0.319147566626657,0.4192358518292187,0.5768493964171758,False
audit-kuramoto-0-018,0,3.963562282626136,0.9993823269892843,0.997530343906753,0.7005343357435437,-0.29107338679851785,0.43600415044557805,0.5833137172146781,False
audit-kuramoto-0-019,0,3.628701138676306,0.9966314608261175,0.9865804937214961,0.6940311560409886,-0.2736431096934667,0.4430771779536694,0.5825337255505323,False
audit-kuramoto-0-020,0,3.4551853128596957,0.9990381869526512,0.996154943266488,0.709051852376975,-0.2904122272834829,0.4322329181690429,0.577886124741044,False
audit-kuramoto-0-021,0,2.9362402629622175,0.9992303476930648,0.9969244052236412,0.7041492955934623,-0.3375058022538178,0.4261509191582083,0.5972282429222038,False
audit-kuramoto-0-022,0,3.1886021841501275,0.998152209121481,0.9926237508724558,0.7073091031928236,-0.3055692483549881,0.4238020029588582,0.5752677709393216,False
audit-kuramoto-0-023,0,3.6763646939797816,0.9995472377496348,0.9981896730608764,0.7027270999600206,-0.28730777829197407,0.4370410662036553,0.5825033535262194,False
audit-kuramoto-0-024,0,3.27002486938791,0.9980553193730477,0.9922345522293359,0.7022479241287607,-0.3155422799165661,0.431116745382362,0.5910621690938188,False
audit-kuramoto-0-025,0,3.6803041656760227,0.998789858260942,0.9951663288412094,0.7033104645865553,-0.28072502337501926,0.45629374150993757,0.6041737342222502,False
audit-kuramoto-0-026,0,3.794058811981009,0.9960614264139382,0.9843248325683548,0.6967672212542463,-0.3145534254151509,0.42118694218247654,0.5768776531188171,False
audit-kuramoto-0-027,0,3.2262152320472026,0.9972532108434857,0.9890331434103748,0.703147000989284,-0.290431878624279,0.4316183204913515,0.5770757610525852,False
audit-kuramoto-0-028,0,3.5808822084917935,0.9972193885189999,0.988926767860535,0.7034030778954768,-0.3348117516323424,0.443420498898813,0.6197587438899953,False
audit-kuramoto-0-029,0,3.0011157960070003,0.9975325925249213,0.9901517924813378,0.7021673161507842,-0.3138176793759004,0.4455065524643237,0.6097381696233908,False
audit-kuramoto-0-030,0,3.7584276560524428,0.9991757578021829,0.9967059957020072,0.7003186124993959,-0.31860133898211596,0.42504417044629716,0.5845220084161916,False
